Time,Sequence Number,Event
0,0,send
0,1000,send
0,2000,send
0,0,transmit
0.0008,1000,transmit
0.0016,2000,transmit
0.0208,0,ack
0.0208,3000,send
0.0208,3000,transmit
0.0216,1000,ack
0.0216,4000,send
0.0216,4000,transmit
0.0224,2000,ack
0.0224,5000,send
0.0416,3000,ack
0.0416,6000,send
0.0416,6000,transmit
0.0424,4000,ack
0.0424,7000,send
0.0424,7000,transmit
0.0624,4000,ack
0.0632,4000,ack
1.0632,5000,send
1.0632,5000,transmit
1.084,7000,ack
1.084,8000,send
1.084,9000,send
1.084,10000,send
1.084,9000,transmit
1.1048,7000,ack
2.1048,8000,send
2.1048,8000,transmit
2.1256,9000,ack
2.1256,10000,send
2.1256,11000,send
2.1256,12000,send
2.1256,10000,transmit
2.1264,11000,transmit
2.1272,12000,transmit
2.1464,10000,ack
2.1464,13000,send
2.1464,13000,transmit
2.1472,11000,ack
2.1472,14000,send
2.1472,14000,transmit
2.148,12000,ack
2.148,15000,send
2.1672,13000,ack
2.1672,16000,send
2.1672,16000,transmit
2.168,14000,ack
2.168,17000,send
2.168,17000,transmit
2.188,14000,ack
3.188,15000,send
3.188,15000,transmit
3.2088,17000,ack
3.2088,18000,send
3.2088,19000,send
3.2088,20000,send
3.2088,18000,transmit
3.2096,19000,transmit
3.2104,20000,transmit
3.2296,18000,ack
3.2296,21000,send
3.2304,19000,ack
3.2304,22000,send
3.2304,22000,transmit
3.2312,20000,ack
3.2312,23000,send
3.2312,23000,transmit
3.2512,20000,ack
3.252,20000,ack
4.252,21000,send
4.252,21000,transmit
4.2728,23000,ack
4.2728,24000,send
4.2728,25000,send
4.2728,26000,send
4.2728,24000,transmit
4.2736,25000,transmit
4.2744,26000,transmit
4.2936,24000,ack
4.2936,27000,send
4.2936,27000,transmit
4.2952,26000,ack
4.2952,28000,send
4.2952,29000,send
4.2952,28000,transmit
4.296,29000,transmit
4.316,28000,ack
4.316,30000,send
4.316,31000,send
4.316,30000,transmit
4.3168,29000,ack
4.3168,32000,send
4.3168,32000,transmit
4.3368,30000,ack
4.3368,33000,send
4.3368,33000,transmit
4.3376,30000,ack
4.3576,30000,ack
5.3576,31000,send
5.3576,31000,transmit
5.3784,33000,ack
5.3784,34000,send
5.3784,35000,send
5.3784,36000,send
5.3784,35000,transmit
5.3792,36000,transmit
5.3992,33000,ack
5.4,33000,ack
6.4,34000,send
6.4,34000,transmit
6.4208,36000,ack
6.4208,37000,send
6.4208,38000,send
6.4208,39000,send
6.4208,37000,transmit
6.4216,38000,transmit
6.4224,39000,transmit
6.4416,37000,ack
6.4416,40000,send
6.4416,40000,transmit
6.4424,38000,ack
6.4424,41000,send
6.4424,41000,transmit
6.4432,39000,ack
6.4432,42000,send
6.4624,40000,ack
6.4624,43000,send
6.4624,43000,transmit
6.4632,41000,ack
6.4632,44000,send
6.4632,44000,transmit
6.4832,41000,ack
7.4832,42000,send
7.4832,42000,transmit
7.504,44000,ack
7.504,45000,send
7.504,46000,send
7.504,47000,send
7.504,45000,transmit
7.5048,46000,transmit
7.5056,47000,transmit
7.5256,46000,ack
7.5256,48000,send
7.5256,49000,send
7.5256,48000,transmit
7.5264,49000,transmit
7.5464,48000,ack
7.5464,50000,send
7.5464,51000,send
7.5464,51000,transmit
7.5472,49000,ack
7.5472,52000,send
7.5472,52000,transmit
7.5672,49000,ack
8.5672,50000,send
8.5672,50000,transmit
8.588,52000,ack
8.588,53000,send
8.588,54000,send
8.588,55000,send
8.588,53000,transmit
8.5888,54000,transmit
8.5896,55000,transmit
8.6088,53000,ack
8.6088,56000,send
8.6088,56000,transmit
8.6096,54000,ack
8.6096,57000,send
8.6096,57000,transmit
8.6104,55000,ack
8.6104,58000,send
8.6104,58000,transmit
8.6296,56000,ack
8.6296,59000,send
8.6296,59000,transmit
8.6304,57000,ack
8.6304,60000,send
8.6304,60000,transmit
8.6312,58000,ack
8.6312,61000,send
8.6312,61000,transmit
8.6504,59000,ack
8.6504,62000,send
8.6504,62000,transmit
8.6512,60000,ack
8.6512,63000,send
8.6512,63000,transmit
8.652,61000,ack
8.652,64000,send
8.652,64000,transmit
8.672,63000,ack
8.672,65000,send
8.672,66000,send
8.672,65000,transmit
8.6728,66000,transmit
8.6928,65000,ack
8.6928,67000,send
8.6928,68000,send
8.6928,67000,transmit
8.6936,66000,ack
8.6936,69000,send
8.6936,68000,transmit
8.6944,69000,transmit
8.7136,67000,ack
8.7136,70000,send
8.7144,68000,ack
8.7144,71000,send
8.7144,71000,transmit
8.7152,69000,ack
8.7152,72000,send
8.7152,72000,transmit
8.7352,69000,ack
8.736,69000,ack
9.736,70000,send
9.736,70000,transmit
9.7568,72000,ack
9.7568,73000,send
9.7568,74000,send
9.7568,75000,send
9.7568,73000,transmit
9.7576,74000,transmit
9.7584,75000,transmit
9.7776,73000,ack
9.7776,76000,send
9.7776,76000,transmit
9.7784,74000,ack
9.7784,77000,send
9.7784,77000,transmit
9.7792,75000,ack
9.7792,78000,send
9.7792,78000,transmit
9.7984,76000,ack
9.7984,79000,send
9.7984,79000,transmit
9.7992,77000,ack
