Time,Congestion Window,Threshold,Event
0.208,2000,100000,slow start
0.416,3000,100000,slow start
0.424,4000,100000,slow start
0.624,5000,100000,slow start
0.632,6000,100000,slow start
0.64,7000,100000,slow start
0.648,8000,100000,slow start
0.832,9000,100000,slow start
0.84,10000,100000,slow start
0.848,11000,100000,slow start
0.856,12000,100000,slow start
0.864,13000,100000,slow start
0.872,14000,100000,slow start
0.88,15000,100000,slow start
1.04,15000,100000,slow start
1.048,15000,100000,slow start
1.056,1000,7000,fast retransmit
1.064,1000,7000,slow start
1.072,1000,7000,slow start
1.08,1000,7000,slow start
1.088,1000,7000,slow start
1.096,1000,7000,slow start
1.104,1000,7000,slow start
1.112,1000,7000,slow start
1.12,1000,7000,slow start
1.128,1000,7000,slow start
1.264,2000,7000,slow start
1.472,3000,7000,slow start
1.48,3000,7000,slow start
1.68,4000,7000,slow start
1.688,5000,7000,slow start
1.696,6000,7000,slow start
1.888,7000,7000,slow start
2.112,8000,7000,additive increase
2.32,9000,7000,additive increase
2.536,10000,7000,additive increase
2.752,11000,7000,additive increase
2.968,12000,7000,additive increase
3.192,13000,7000,additive increase
3.408,14000,7000,additive increase
3.624,15000,7000,additive increase
3.84,16000,7000,additive increase
4.056,17000,7000,additive increase
4.272,18000,7000,additive increase
4.488,19000,7000,additive increase
4.704,20000,7000,additive increase
4.92,21000,7000,additive increase
5.144,22000,7000,additive increase
5.36,23000,7000,additive increase
5.576,24000,7000,additive increase
5.792,25000,7000,additive increase
6.008,26000,7000,additive increase
6.232,27000,7000,additive increase
6.448,28000,7000,additive increase
6.672,29000,7000,additive increase
6.912,30000,7000,additive increase
7.152,31000,7000,additive increase
7.4,32000,7000,additive increase
