Time,Queue Size,Event
0.208,1,size
0.216,0,size
0.416,1,size
0.424,0,size
0.424,1,size
0.424,2,size
0.432,1,size
0.44,0,size
0.624,1,size
0.632,0,size
0.632,1,size
0.632,2,size
0.64,1,size
0.64,2,size
0.64,3,size
0.648,2,size
0.648,3,size
0.656,2,size
0.664,1,size
0.672,0,size
0.832,1,size
0.84,0,size
0.84,1,size
0.84,2,size
0.848,1,size
0.848,2,size
0.848,3,size
0.856,2,size
0.856,3,size
0.856,4,size
0.864,3,size
0.864,4,size
0.864,5,size
0.872,4,size
0.872,5,size
0.88,4,size
0.88,5,size
0.888,4,size
0.896,3,size
0.904,2,size
0.912,1,size
0.92,0,size
1.264,1,size
1.272,0,size
1.472,1,size
1.472,2,size
1.48,1,size
1.488,0,size
1.68,1,size
1.688,0,size
1.688,1,size
1.688,2,size
1.696,1,size
1.696,2,size
1.696,3,size
1.704,2,size
1.712,1,size
1.72,0,size
1.888,1,size
1.896,0,size
1.896,1,size
1.904,0,size
1.904,1,size
1.912,0,size
1.912,1,size
1.92,0,size
1.92,1,size
1.928,0,size
1.928,1,size
1.936,0,size
2.112,1,size
2.12,0,size
2.12,1,size
2.128,0,size
2.128,1,size
2.136,0,size
2.136,1,size
2.144,0,size
2.144,1,size
2.152,0,size
2.32,1,size
2.328,0,size
2.328,1,size
2.336,0,size
2.336,1,size
2.344,0,size
2.344,1,size
2.352,0,size
2.352,1,size
2.36,0,size
2.36,1,size
2.368,0,size
2.536,1,size
2.544,0,size
2.544,1,size
2.552,0,size
2.552,1,size
2.56,0,size
2.56,1,size
2.568,0,size
2.568,1,size
2.576,0,size
2.576,1,size
2.584,0,size
2.752,1,size
2.76,0,size
2.76,1,size
2.768,0,size
2.768,1,size
2.776,0,size
2.776,1,size
2.784,0,size
2.784,1,size
2.792,0,size
2.792,1,size
2.8,0,size
2.968,1,size
2.976,0,size
2.976,1,size
2.984,0,size
2.984,1,size
2.992,0,size
2.992,1,size
3.0,0,size
3.0,1,size
3.008,0,size
3.008,1,size
3.016,0,size
3.192,1,size
3.2,0,size
3.2,1,size
3.208,0,size
3.208,1,size
3.216,0,size
3.216,1,size
3.224,0,size
3.224,1,size
3.232,0,size
3.408,1,size
3.416,0,size
3.416,1,size
3.424,0,size
3.424,1,size
3.432,0,size
3.432,1,size
3.44,0,size
3.44,1,size
3.448,0,size
3.624,1,size
3.632,0,size
3.632,1,size
3.64,0,size
3.64,1,size
3.648,0,size
3.648,1,size
3.656,0,size
3.656,1,size
3.664,0,size
3.84,1,size
3.848,0,size
3.848,1,size
3.856,0,size
3.856,1,size
3.864,0,size
3.864,1,size
3.872,0,size
3.872,1,size
3.88,0,size
4.056,1,size
4.064,0,size
4.064,1,size
4.072,0,size
4.072,1,size
4.08,0,size
4.08,1,size
4.088,0,size
4.088,1,size
4.096,0,size
4.272,1,size
4.28,0,size
4.28,1,size
4.288,0,size
4.288,1,size
4.296,0,size
4.296,1,size
4.304,0,size
4.304,1,size
4.312,0,size
4.488,1,size
4.496,0,size
4.496,1,size
4.504,0,size
4.504,1,size
4.512,0,size
4.512,1,size
4.52,0,size
4.52,1,size
4.528,0,size
4.704,1,size
4.712,0,size
4.712,1,size
4.72,0,size
4.72,1,size
4.728,0,size
4.728,1,size
4.736,0,size
4.736,1,size
4.744,0,size
4.92,1,size
4.928,0,size
4.928,1,size
4.936,0,size
4.936,1,size
4.944,0,size
4.944,1,size
4.952,0,size
4.952,1,size
4.96,0,size
5.144,1,size
5.152,0,size
5.152,1,size
5.16,0,size
5.16,1,size
5.168,0,size
5.168,1,size
5.176,0,size
5.36,1,size
5.368,0,size
5.368,1,size
5.376,0,size
5.376,1,size
5.384,0,size
5.384,1,size
5.392,0,size
5.576,1,size
5.584,0,size
5.584,1,size
5.592,0,size
5.592,1,size
5.6,0,size
